stationName,sidoName,dataTime,pm10Value,pm25Value,o3Value,no2Value,coValue,so2Value
중구,서울,2026-03-11 11:00:00,58,44,0.019,0.049,0.6,0.003
한강대로,서울,2026-03-11 11:00:00,56,35,0.021,0.046,0.6,0.003
종로구,서울,2026-03-11 11:00:00,53,43,0.02,0.048,0.7,0.003
청계천로,서울,2026-03-11 11:00:00,57,45,0.014,0.055,0.9,0.003
종로,서울,2026-03-11 11:00:00,59,41,0.023,0.048,0.8,0.003
용산구,서울,2026-03-11 11:00:00,77,46,0.02,0.048,0.7,0.004
광진구,서울,2026-03-11 11:00:00,42,28,0.037,0.023,0.6,0.003
성동구,서울,2026-03-11 11:00:00,51,37,0.024,0.042,0.6,0.003
강변북로,서울,2026-03-11 11:00:00,67,34,0.014,0.051,0.6,0.003
중랑구,서울,2026-03-11 11:00:00,49,38,0.027,0.034,0.5,0.003
